B cells	T4	T8	DC	NK	MO	Basophil	Eosinophil	Neutrophil
0.0176317396449426	0.0989911871688956	0.0369007161493296	0.0619543394655417	0.705645455621185	0.00394281555193988	0.037287998994028	0.0289725500419004	0.00867319736223711
0.00662643493026567	0.0961943027001237	0.354349657370662	0.129521398583759	0.272907755062699	0.0340799617532448	0.00562647817434752	0.0628339043592963	0.0378601070656018
0.223168477845463	0.180677686371861	0.0285648710368528	0.0389969609942208	0.433973296878221	0.0271413975035267	0.0105341415044472	0.00379706762983971	0.0531461002355672
0.219944677075249	0.117291699769646	0.274772301779549	0.0955224973611011	8.77508839739079e-05	0.00546290606782324	0.126022580816114	0.134068693518575	0.0268268927279686
0.206989694675572	0.000791143243868533	0.035737529185306	0.333142469182711	0.00690370876155403	0.0677032959263038	0.175692108364179	0.0483206535655254	0.124719397094981
0.217887589789249	0.000984223243398091	0.126614981990971	0.0960701964582606	0.185711010768756	0.0349971094717341	0.212817969185121	0.122457187199275	0.00245973189323504
0.00477659514950908	0.0396501952297429	0.0280649653633598	0.124214452602651	0.0257760625844672	0.669470233636868	0.0270186243024896	0.0260287727214323	0.0550000984094805
0.0618072943939141	0.0749743367139231	0.44918777514778	0.069973018046157	0.0746695882907232	0.0859869404295586	0.0955431895175336	0.0564731426605879	0.0313847147998223
0.227410319938567	0.0019147465723584	0.177386877346789	0.00178377816591456	0.0411051554695022	0.0304792688966849	0.104995740525567	0.000355836924733185	0.414568276159884
0.000686262500208696	0.0308381496691598	0.00521669726925702	0.666546736669656	0.0766760805734846	0.00293427232470555	0.135424272722	0.0723985087358463	0.00927901953568186
0.00165609487873049	0.00704219148339692	0.0252402218809981	0.0345185287022639	0.00210412548294035	0.0692450955968959	0.0522072176802211	0.0256350180202602	0.782351506274293
0.158220047634482	0.203541226674836	0.0748477110470622	0.00109963677437093	0.106068545793152	0.275164340869786	0.15022914185405	0.00448045537282225	0.0263488939794382
0.0413485185080961	0.00929826948471499	0.0145699001638459	0.222787457548326	0.259481420949277	0.211943749648785	0.186993330963505	0.0504813964663846	0.00309595626706518
0.285614671118979	0.00234704949937228	0.116351455107758	0.0148510054324434	0.374936628338594	0.000624560010339833	0.0480666156053422	0.10898149578599	0.0482265191011808
0.00548298418687619	0.0980709737709254	0.228716304144872	0.291156985168792	0.014249921706835	0.000204616027106788	0.0630203757409568	0.285199165425836	0.0138986738277986
0.0959411453617566	0.132909680445644	0.164172955831178	0.00537875220175835	0.412797479248615	0.000281876786093478	0.0251802585565164	0.0370668455210705	0.126271006047368
0.0288593624269308	0.00355262372721984	0.0874223287419687	0.286871352553778	0.0390701598675476	0.00065837451520521	0.00471139866882459	0.110786835329432	0.438067564169094
0.0887176836446065	0.00451656161731864	0.0845016034307245	0.275580455052266	0.000630892951598771	0.0874409796596882	0.0299234000217489	0.215461667584125	0.213226756037923
0.0461466628739068	0.288753251095021	0.349262297098496	0.116157743447189	0.00530833207228328	0.0892967381171016	0.0661760055389393	0.0239985505412084	0.0149004192158545
0.0259561695256016	0.0536778905719815	0.00251522425434683	0.278940023476756	0.344794812517191	0.165077859367892	0.0344339140662162	0.0847308743815919	0.0098732318384238
0.000876392527828839	0.292137868510408	0.0351072414279245	0.0648829023554869	0.0338282635894708	0.156066157115457	0.0659445158073659	0.0467914335282659	0.304365225137792
0.0760699111540522	0.105811427920806	0.00831191714110608	0.124086373052486	0.421107526373735	0.155103478153801	0.0567304661454245	0.0527721866157342	6.71344285404206e-06
0.368281676167446	0.0237528246804941	0.0645437623179418	0.19447791023731	0.176158959698501	0.0276929995429298	0.00257225896690791	0.128004531707524	0.0145150766809458
