Name	C3L-00004	C3L-00010	C3L-00011
A1BG	-0.3043019344646005	1.1959147692846983	-0.2861552935534028
A1CF	0.6414471165595969	0.1946198646219982	-0.7804552897281027
A2M	-2.482086819815301e-05	1.3602935711676023	
A4GALT	-0.0226493674036753	-0.0410703959056602	0.0085235909200107
AAAS	0.2078313003256014	0.1269561371872001	0.2926289274434985
AACS	-0.364127869995297	-0.572843137501998	0.0358121654230033
AADAC	-0.0226493674036753	-0.0410703959056602	0.0085235909200107
AADAT	-1.2038857453943983		0.0085235909200107
AAED1	-0.2179337221440995	-0.0410703959056602	0.0085235909200107
AAGAB	0.2168936733772994	0.2216957632399002	0.3008626832851001
AAK1	0.0300310531321984	0.0540603172910997	0.1953540381636998
AAMP	0.6819635843732001	-0.0169062846765015	0.3612587041188
AAR2	0.3573431925560975	0.0713470046029982	0.2699959477793002
AARS	0.1636420249711995	-0.1684378363712007	
AARS2	0.0651222700639025	-0.1505281355537988	-0.0899465818382978
AARSD1	0.5202741277244982	0.2070130262205011	0.0557936218134003
AASDH	-0.0226493674036753	-0.0410703959056602	0.0085235909200107
AASDHPPT	0.1109504757019977		0.130695017480498
AASS	-1.1145936721931982		-0.8981792689526991
AATF	0.2587124889145009	0.1441719134199032	0.4172061443613017
ABAT	-1.6248506785174008		-1.091432397683402
ABCA1	-0.2929953255980991	1.2008020733854998	
ABCA12	-0.0011065185216026	-0.0410703959056602	0.329525521211199
ABCA2	-0.1544526973051994	0.096937673873299	-0.2076990592211984
ABCA3		-0.0410703959056602	0.0085235909200107
ABCA5	-0.0456726610009994	-0.0410703959056602	
ABCA6	-0.0226493674036753	-0.0945431551975986	0.0085235909200107
ABCA8	-0.3827617567574997	-0.0410703959056602	-0.6590031515746021
ABCB1	-0.3940848688553017	-0.9991241255677998	-0.8638175491172007
ABCB10	0.1040606292730003	-0.2439878517112	-0.2682602440176004
ABCB5	-0.0226493674036753	-0.0410703959056602	0.0085235909200107
ABCB6	0.2913449039035001	0.9591410385463988	0.476281032494299
ABCB7	0.4880059705255988	-0.0410703959056602	-0.007051477993599
ABCB8	-0.6900660505292997		-0.4773611738675995
ABCB9	-0.0226493674036753	-0.0410703959056602	0.0085235909200107
ABCC1	-0.3323444951398998	0.3299833639402009	0.4102826692075005
ABCC10		-0.0410703959056602	-0.4564762790401992
ABCC2	-0.7698603980742007	-0.5700772649707985	-0.3712571592751992
ABCC3	-0.0147840591092994	0.2942639867362011	-0.0588707383903006
ABCC4	-0.2844552650568986		-0.1195363102652003
ABCC5	-0.0226493674036753	-0.0410703959056602	0.0085235909200107
ABCC6	-0.4240443229384993	-0.677062624078097	-0.6757959373279975
ABCC9	-0.0226493674036753	-0.0410703959056602	-0.0931856043278997
ABCD1	0.1286632649094024	0.3278821226555024	0.4652102040663025
ABCD3	-0.4352486024802999	-0.140772796481599	-0.2028670894301001
ABCE1	0.2985516095823008	0.1303135242106029	0.2019526486143021
ABCF1	0.2452571114450989	0.1354702281459978	
ABCF2	0.2439423518227989	0.0448442229279989	0.2843720764469992
ABCF3	0.169520713262198	0.2144568613166981	0.0803123337414995
ABCG2	-0.1549926604484	-0.0410703959056602	0.0085235909200107
ABHD10	-0.3162289287460993		-0.6204461850424003
ABHD11	-0.6184452624319015	-0.696305153725401	-0.3463836699037018
ABHD12	-0.0181127585491011	0.2139189878578982	0.2604299226834997
ABHD13	-0.0709515169127996	-0.0410703959056602	-0.0513934126597987
ABHD14A	-0.0226493674036753		0.0085235909200107
ABHD14B	-0.2475761565044009	-0.3540802924641006	-0.3850946741035024
ABHD15	-0.7180169714968017	-1.4057312325275009	-0.2585614789267013
ABHD16A	0.3783457374312995	-0.0410703959056602	0.2355403152918996
ABHD17A	-0.0150575468185003	0.5861492005900999	
ABHD17B	-0.105592228945401	0.3272987788418006	-0.2536901101632018
ABHD17C	-0.0226493674036753	-0.0410703959056602	0.0085235909200107
ABHD18	-0.0226493674036753	-0.0410703959056602	-0.2415483234345998
ABHD2	-0.2773538708895025	-0.0410703959056602	-0.0713244163296025
ABHD3	-0.3554030154354989	0.142368581882998	-0.0151779207052023
ABHD4	0.0975623531147995	0.1259749144585988	0.1424933050019987
ABHD5	0.1077183352774006	0.5851842299187986	
ABHD6	-0.2231592306764014	-0.6711639864043022	-0.3569572484232993
ABI1	-0.1302821209990021	-0.0410703959056602	0.200461117927798
ABI2	0.0896846987540023	0.0018083416900012	0.0363617262725029
ABI3	0.3954913523475021	0.4868407689524012	-0.0518222748820988
ABL1	-0.0096385324150994	0.2371928613679017	0.1911957054875018
ABL2	0.1667749809286007	0.4468612108588984	0.2391507028493009
ABLIM1	0.3092810997073336	0.6893093817778574	-0.2508252691840604
ABLIM2	-0.4363435445046023		0.0085235909200107
