genes	B.cells	T4.cells	T8.cells	DC	Basophil	Eosinophil	Neutrophil	MO	NK
A1BG	0.25748192305260315	1.4234581693713433	0.9447439542427702	1.3009921768409045	1.709038137988452	1.799572239309298	0.7015151358396416	1.0473976249614503	2.300034231587019
A2M	1.538397438111075	1.4342980449021236	0.9717451225721603	1.3832676176552932	1.7909992295990793	1.9633533788600621	0.3201080385987051	1.2662064750754418	0.4945646562216361
A2ML1	0.859124940442905	1.6935442437619823	1.2270843318094387	1.511125017305156	0.5596954408056108	0.5784831053161258	0.6604419801989061	1.437879908236556	0.8875133977750367
AAAS	0.7368169216345403	1.2655734318273661	1.5114697411270506	1.1812924092179231	0.9538316357425425	0.5849060259028632	0.1341543824773129	1.1709132387743924	1.4012094677104598
AACS	0.802212004659493	0.8679711025779642	1.1419757923882177	2.1920790835169925	1.1574946442896543	1.6392620819121788	1.383217665137464	1.5870673510683542	2.1115370999208642
AAGAB	0.7179257154186476	1.0523590107137586	1.4073392662039097	1.5557258105112286	0.852942006931615	0.5028234855485604	0.2925874239961462	2.0224129431741455	1.556571774535891
AAK1	0.3165646246264919	1.5673297366982357	1.5319841968812338	0.5560195543131221	1.1514065627444745	1.0826594543227808	0.7604735261606638	0.8714187701194117	1.2779717269501791
AAMDC	1.2654094351841978	1.0808444399093984	0.9316197166943425	1.5459129309338715	2.264767759096339	1.1323469260830439	1.7405494972476871	1.2085951697328896	1.0107927457757173
AAMP	1.1657759815693705	0.9981068220325034	1.0996084216993032	1.1296105790713749	0.6460338187865902	0.3320571794028641	2.085812559560636	1.8598537574500724	1.1981259270246938
AAR2	0.7824638938879448	1.264223234466572	1.2249687903126039	1.5895243776430255	0.812039285755904	0.16456073309209157	0.18377258626123977	1.5813242496272586	1.4019414593762392
AARS1	1.9311855895291583	1.2938932033882597	1.3944688006359558	1.541464747506575	0.6641860545660473	0.4260509192970538	0.1032735555603195	0.8652252154031261	0.791764425806972
AARS2	1.1828908902805804	1.2139815031109178	1.6848899821051149	1.2428611731080184	0.5960506300768426	0.17156448808762356	0.4637022097664131	1.0920884131446125	1.1080212715715019
AARSD1	1.39644307695408	1.3147430786612515	1.3478571161474044	1.6284815047459873	0.4199184697238231	0.30384952306752067	0.20211153939878593	0.7854373990050769	1.2133093229328498
AASDHPPT	0.8081697778812137	1.1332117944637072	1.4076126576520784	1.65216770916694	1.0355276372070092	0.6895508971187234	0.9715690252935456	0.968509644734212	1.2191866213287659
AASS	1.4127456680284942	1.2981033564391717	1.449413875320309	1.0245389537959484	0.849730289848894	0.9523930801767581	0.5901690299151867	0.886463442020211	1.271443914544565
AATF	1.1256614975600738	1.444004428865778	1.68137995469858	0.8773819919989103	0.24804024855974455	0.2961150825354262	1.7400707972431178	0.4682890680890048	1.2626315338586342
AATK	2.164279093779741	1.186464593959957	1.0887743720308538	1.138841890297198	0.904454933388718	1.324384711290778	0.718059181100881	1.390955770310531	1.2315623266016036
ABAT	1.3685343256861113	1.3917074835690615	1.4751262574441126	0.5151060695588814	1.1219764569170259	0.8351395261356207	0.6710118858949624	0.5825367729797858	1.808929690367778
ABCA1	1.6153651112929663	1.1382367505669533	0.9318453196874962	0.6516253559640663	1.8396809783989174	1.2229766861486053	1.5299677147028978	2.1051984024375163	0.9386684867790765
ABCA13	1.7549298742841364	1.0831350821873333	0.9190872607856896	1.7270197501603604	2.0686867483390046	0.7090030553391917	0.715708429931906	0.7378146674935032	1.8534635108699493
ABCA7	0.6027650283899764	1.1789636556444723	1.1253381527904747	1.7454716016823442	2.3165803251720374	1.1654462079721344	1.595617568904521	1.755694828185795	1.5632429139371036
ABCB1	1.3342899547039642	0.7988812251327826	2.165669340361022	0.8188315853071597	0.5372735120822687	1.0405060961679473	1.0853571064321963	0.6596192628099057	3.757171532589029
ABCB10	0.8977067124243304	0.9942546324844006	0.8107449417518734	1.4736108689788796	0.8440178669972214	0.8639734245170554	0.4847547455080692	2.8339125352520185	2.0419804826280603
ABCB6	1.4997874499767132	1.3190952319468698	1.0318620337564568	1.3179587442950762	0.5715420692920952	0.688652630872786	2.120341314587944	0.8946846221391888	1.6971570325242658
ABCB7	1.0034908272087113	1.2429136930078672	1.5055846925592984	1.0495669855399141	0.5519446711697781	0.30336132930541376	0.30754131048129385	1.4595241093604285	1.2954668607343542
ABCB8	1.2566419539912188	1.1191278493495882	1.331845707963825	1.4330156600629378	0.6789266284188344	0.6752023048915543	0.6080960576941967	1.4792974644729548	1.121711954027487
ABCC1	0.5148735082379584	1.1670050354794772	1.039478591559376	0.9020558727145237	7.952020409081498	1.7631112565379599	0.609879728054339	1.3199902835435793	0.9761127906799515
ABCC10	0.8917235865773119	1.396574453704816	1.1359832413945488	0.7363414001575076	1.5922109209769677	0.9032828406444857	0.622138175872031	1.702856359040705	1.3581597050436456
ABCC3	1.568093763870455	1.1591363053491621	0.8204502288717272	1.4034376482857374	1.0597663136480193	0.887877316005714	0.967949720013862	2.5453157662147836	1.0661304566117729
ABCC4	0.8766993768581847	1.3893720662573266	1.2859397900217362	1.435153852463429	1.0780569617848481	0.4039211977273092	0.7057648325872968	1.4063671677944318	1.2183599674148489
ABCC5	1.7847535376105423	1.0953521620367015	0.9633352566745668	0.7852061839295068	1.7167429956007245	1.7484757903816752	1.899406718346559	1.2281215819059863	1.9692755030593774
